"","GameDate","HomeTeamName","HomeTeamScore","AwayTeamName","AwayTeamScore"
"1","November 8, 2010","Illinois",79,"UC-Irvine",65
"2","November 8, 2010","Maryland",105,"Seattle",76
"3","November 8, 2010","Pitt",83,"Rhode Island",75
"4","November 8, 2010","Texas",83,"Navy",52
"5","November 10, 2010","Illinois",84,"Toledo",45
"6","November 10, 2010","Maryland",75,"College of Charleston",74
"7","November 10, 2010","Pitt",97,"UIC",54
"8","November 10, 2010","Texas",89,"Louisiana Tech",58
"9","November 12, 2010","Akron",89,"Millikin",41
"10","November 12, 2010","Alabama",76,"Florida A&M",37
"11","November 12, 2010","Albany (NY)",61,"Cornell",65
"12","November 12, 2010","American",62,"Saint Francis (PA)",52
"13","November 12, 2010","Army",66,"Vassar",49
"14","November 12, 2010","Auburn",69,"UNC Asheville",70
"15","November 12, 2010","Baylor",87,"Grambling",52
"16","November 12, 2010","Boston College",79,"St. Francis (NY)",49
"17","November 12, 2010","Bradley",66,"Texas A&M-Kingsville",55
"18","November 12, 2010","BYU",83,"Fresno State",56
"19","November 12, 2010","Cal State Fullerton",67,"Central Michigan",70
"20","November 12, 2010","UCSB",65,"Denver",49
"21","November 12, 2010","Canisius",80,"St. Bonaventure",70
"22","November 12, 2010","UCF",115,"West Florida",61
"23","November 12, 2010","Charlotte",70,"Gardner-Webb",78
"24","November 12, 2010","Chicago State",79,"Concordia (IL)",75
"25","November 12, 2010","Clemson",87,"Western Carolina",64
"26","November 12, 2010","Cleveland State",71,"Bryant",57
"27","November 12, 2010","Coastal Carolina",112,"Piedmont",52
"28","November 12, 2010","Colorado",88,"Idaho State",80
"29","November 12, 2010","UConn",79,"Stony Brook",52
"30","November 12, 2010","Creighton",71,"Alabama State",57
"31","November 12, 2010","East Carolina",74,"Erskine",46
"32","November 12, 2010","Eastern Illinois",55,"South Dakota State",67
"33","November 12, 2010","Eastern Washington",60,"San Jose State",67
"34","November 12, 2010","Florida",77,"UNC Wilmington",60
"35","November 12, 2010","Florida Atlantic",70,"UC-Davis",63
"36","November 12, 2010","Florida International",89,"Florida Memorial",73
"37","November 12, 2010","Florida State",75,"North Florida",55
"38","November 12, 2010","Fordham",65,"Brown",69
"39","November 12, 2010","Furman",72,"North Greenville",54
"40","November 12, 2010","Georgia",72,"Mississippi Valley State",70
"41","November 12, 2010","Georgia Tech",52,"Charleston Southern",39
"42","November 12, 2010","Gonzaga",117,"Southern",72
"43","November 12, 2010","Hawaii",77,"Montana State",59
"44","November 12, 2010","Houston",63,"Nicholls State",62
"45","November 12, 2010","Howard",54,"Bowling Green State",52
"46","November 12, 2010","Indiana",88,"Florida Gulf Coast",60
"47","November 12, 2010","Iona",72,"Kent State",73
"48","November 12, 2010","Iowa State",78,"Northern Arizona",64
"49","November 12, 2010","Kansas",113,"Longwood",75
"50","November 12, 2010","Kansas State",75,"James Madison",61
"51","November 12, 2010","Kennesaw State",82,"Georgia Southwestern",62
"52","November 12, 2010","Kentucky",88,"ETSU",65
"53","November 12, 2010","La Salle",82,"Columbia",71
"54","November 12, 2010","Lamar",115,"Lyon",57
"55","November 12, 2010","Liberty",82,"Virginia Intermont",65
"56","November 12, 2010","LIU-Brooklyn",87,"Norfolk State",64
"57","November 12, 2010","Louisiana",76,"New Mexico State",92
"58","November 12, 2010","LSU",87,"Northwestern State",78
"59","November 12, 2010","Loyola (IL)",73,"Eastern Kentucky",57
"60","November 12, 2010","Loyola Marymount",79,"Morgan State",81
"61","November 12, 2010","Loyola (MD)",72,"Drexel",75
"62","November 12, 2010","Marquette",97,"Prairie View",58
"63","November 12, 2010","Marshall",92,"West Virginia Tech",69
"64","November 12, 2010","Maryland-Eastern Shore",62,"Tulane",91
"65","November 12, 2010","UMass",77,"Rider",67
"66","November 12, 2010","Memphis",104,"Centenary (LA)",40
"67","November 12, 2010","Mercer",67,"Oglethorpe",44
"68","November 12, 2010","Miami (FL)",89,"Jacksonville",77
"69","November 12, 2010","Miami (OH)",60,"Towson",57
"70","November 12, 2010","Michigan State",96,"Eastern Michigan",66
"71","November 12, 2010","Middle Tennessee",90,"Tennessee Temple",46
"72","November 12, 2010","Minnesota",69,"Wofford",55
"73","November 12, 2010","Ole Miss",68,"Arkansas State",60
"74","November 12, 2010","Mississippi State",75,"Tennessee State",65
"75","November 12, 2010","UMKC",71,"Truman State",59
"76","November 12, 2010","Missouri State",78,"Oral Roberts",61
"77","November 12, 2010","Morehead State",90,"Asbury",49
"78","November 12, 2010","Nebraska",76,"South Dakota",68
"79","November 12, 2010","UNLV",85,"UC-Riverside",41
"80","November 12, 2010","UNC",80,"Lipscomb",66
"81","November 12, 2010","North Carolina Central",90,"Johnson & Wales (NC)",30
"82","November 12, 2010","NC State",82,"Tennessee Tech",69
"83","November 12, 2010","North Dakota",77,"Waldorf",46
"84","November 12, 2010","North Texas",92,"Henderson State",66
"85","November 12, 2010","Northeastern",66,"Boston University",64
"86","November 12, 2010","Northern Colorado",93,"Tabor College",52
"87","November 12, 2010","Northern Illinois",78,"Northwestern",97
"88","November 12, 2010","Notre Dame",98,"Georgia Southern",61
"89","November 12, 2010","Ohio State",102,"North Carolina A&T",61
"90","November 12, 2010","Oklahoma",77,"Coppin State",57
"91","November 12, 2010","Old Dominion",59,"Georgetown",62
"92","November 12, 2010","Oregon",97,"North Dakota State",92
"93","November 12, 2010","Penn State",70,"Lehigh",56
"94","November 12, 2010","Portland",80,"Milwaukee",60
"95","November 12, 2010","Portland State",83,"Pepperdine",81
"96","November 12, 2010","Princeton",78,"Rutgers",73
"97","November 12, 2010","Rice",63,"St. Thomas (TX)",51
"98","November 12, 2010","Richmond",79,"Citadel",37
"99","November 12, 2010","St. Joseph's",70,"Western Kentucky",98
"100","November 12, 2010","Saint Louis",62,"Austin Peay",64
"101","November 12, 2010","Saint Mary's",86,"College of Idaho",42
"102","November 12, 2010","San Diego",83,"Occidental",66
"103","November 12, 2010","San Francisco",97,"Seattle",76
"104","November 12, 2010","Santa Clara",82,"Cal State Bakersfield",77
"105","November 12, 2010","Savannah State",61,"Brewton-Parker",33
"106","November 12, 2010","South Alabama",81,"Spring Hill",53
"107","November 12, 2010","South Carolina",94,"Elon",79
"108","November 12, 2010","South Florida",53,"Southern Miss",60
"109","November 12, 2010","Southeastern Louisiana",91,"Millsaps",45
"110","November 12, 2010","SIU-Edwardsville",55,"Fort Wayne",70
"111","November 12, 2010","SMU",47,"Little Rock",57
"112","November 12, 2010","Stephen F. Austin",114,"Howard Payne",49
"113","November 12, 2010","Syracuse",68,"Northern Iowa",46
"114","November 12, 2010","Temple",62,"Seton Hall",56
"115","November 12, 2010","Tennessee",82,"Chattanooga",62
"116","November 12, 2010","UT-Martin",70,"MacMurray",49
"117","November 12, 2010","Texas A&M",88,"Alcorn State",56
"118","November 12, 2010","Texas-Arlington",88,"Texas Lutheran",45
"119","November 12, 2010","TCU",86,"Jackson State",62
"120","November 12, 2010","UTEP",61,"Pacific",66
"121","November 12, 2010","Texas-Rio Grande Valley",46,"Indiana State",69
"122","November 12, 2010","UTSA",82,"Huston-Tillotson",65
"123","November 12, 2010","Texas State",89,"Sul Ross State",62
"124","November 12, 2010","Texas Tech",86,"Louisiana-Monroe",67
"125","November 12, 2010","Troy",100,"Huntington",59
"126","November 12, 2010","Tulsa",86,"Appalachian State",89
"127","November 12, 2010","UCLA",83,"Cal State Northridge",50
"128","November 12, 2010","Utah",72,"Grand Canyon",48
"129","November 12, 2010","Utah Valley",66,"Maine",71
"130","November 12, 2010","Valparaiso",111,"Indiana-Northwest",64
"131","November 12, 2010","Vanderbilt",88,"Presbyterian",47
"132","November 12, 2010","Villanova",68,"Bucknell",52
"133","November 12, 2010","Virginia",76,"William & Mary",52
"134","November 12, 2010","VCU",101,"UNC Greensboro",86
"135","November 12, 2010","VMI",106,"Randolph",65
"136","November 12, 2010","Virginia Tech",70,"Campbell",60
"137","November 12, 2010","Wagner",63,"Lafayette",58
"138","November 12, 2010","Wake Forest",79,"Stetson",89
"139","November 12, 2010","West Virginia",95,"Oakland",71
"140","November 12, 2010","Western Illinois",83,"St. Francis (IL)",47
"141","November 12, 2010","Xavier",68,"Western Michigan",65
"142","November 12, 2010","Youngstown State",64,"Samford",61
"143","November 13, 2010","Alabama A&M",93,"Talladega",77
"144","November 13, 2010","Alabama-Birmingham",78,"Southeast Missouri State",56
"145","November 13, 2010","Bethune-Cookman",85,"Edward Waters",49
"146","November 13, 2010","Boise State",78,"Western State",52
"147","November 13, 2010","Buffalo",88,"Navy",46
"148","November 13, 2010","Butler",83,"Marian (IN)",54
"149","November 13, 2010","Central Arkansas",87,"Hendrix",46
"150","November 13, 2010","Charlotte",90,"South Carolina State",81
"151","November 13, 2010","Cleveland State",78,"Iona",68
"152","November 13, 2010","Coastal Carolina",79,"LaGrange",40
"153","November 13, 2010","Colgate",60,"Binghamton",62
"154","November 13, 2010","Colorado State",82,"Arkansas-Pine Bluff",51
"155","November 13, 2010","Dayton",67,"Mount St. Mary's",52
"156","November 13, 2010","Delaware State",63,"Washington Adventist",56
"157","November 13, 2010","Drake",60,"Texas Southern",46
"158","November 13, 2010","Duquesne",110,"Bluefield (WV)",67
"159","November 13, 2010","Eastern Kentucky",53,"Texas-Rio Grande Valley",67
"160","November 13, 2010","Evansville",82,"Oakland City",42
"161","November 13, 2010","Fairfield",62,"Sacred Heart",45
"162","November 13, 2010","Gardner-Webb",76,"Mary Washington",61
"163","November 13, 2010","George Mason",66,"Harvard",53
"164","November 13, 2010","Green Bay",75,"Minnesota-Duluth",36
"165","November 13, 2010","Hartford",62,"Central Connecticut",64
"166","November 13, 2010","Hawaii",84,"Cal State Fullerton",70
"167","November 13, 2010","High Point",90,"Ferrum",57
"168","November 13, 2010","Hofstra",102,"Farmingdale State",62
"169","November 13, 2010","Holy Cross",84,"College of Charleston",93
"170","November 13, 2010","Idaho",86,"Eastern Oregon",74
"171","November 13, 2010","Illinois",85,"Southern Illinois",63
"172","November 13, 2010","Jacksonville State",79,"West Alabama",58
"173","November 13, 2010","Kent State",90,"Bryant",49
